coupon_bin,mean_gmv_per_trip,count,coupon_midpoint
"(0.722, 0.741]",296.69894433763864,9,0.7315
"(0.741, 0.758]",292.316486705719,7,0.7495
"(0.758, 0.776]",293.38383735336396,7,0.767
"(0.776, 0.793]",294.48133649312865,7,0.7845
"(0.793, 0.81]",292.06893574576077,2,0.8015000000000001
"(0.828, 0.845]",304.32603406326035,1,0.8365
"(0.845, 0.862]",300.53330777493323,4,0.8534999999999999
"(0.862, 0.879]",297.9696550696259,2,0.8705
"(0.897, 0.914]",295.8610543914166,2,0.9055
"(0.914, 0.931]",293.15544431488945,2,0.9225000000000001
"(0.931, 0.949]",290.6826493528446,2,0.94
"(0.949, 0.966]",287.84722222222223,1,0.9575
"(0.983, 1.001]",311.139968487395,1,0.992
"(1.001, 1.018]",309.5483262469444,2,1.0095
"(1.018, 1.035]",308.5261436816332,5,1.0265
"(1.035, 1.052]",307.1780084940312,3,1.0434999999999999
"(1.052, 1.07]",311.9425,1,1.061
